weather_date,crime_count,average_temperature_f,reported_precipitation_inches,average_relative_humidity,average_wind_speed_mph,has_reported_weather_event,has_precipitation,has_rain,has_snow,has_thunderstorm
2008-07-15,1311,80.04166666666667,0.0,57.645833333333336,8.354166666666666,0,0,0,0,0
2008-07-16,1293,80.02083333333333,0.0,66.04166666666667,7.479166666666667,0,0,0,0,0
2008-07-17,1306,82.04166666666667,0.0,60.145833333333336,9.229166666666666,0,0,0,0,0
2008-07-18,1367,80.58333333333333,0.002,63.479166666666664,8.229166666666666,1,1,1,0,0
2008-07-19,1254,75.10810185185184,1.2420000000000002,84.1712962962963,5.9430555555555555,1,1,1,0,1
2008-07-20,1289,76.35069444444444,0.44,76.87847222222221,7.121527777777779,1,1,1,0,1
2008-07-21,1297,74.95138888888889,0.14100000000000001,76.01944444444445,7.731944444444444,1,1,1,0,1
2008-07-22,1335,70.27083333333333,0.061000000000000006,70.36805555555556,9.597222222222223,1,1,1,0,0
2008-07-23,1321,71.47916666666667,0.0,53.583333333333336,9.1875,0,0,0,0,0
2008-07-24,1318,72.25,0.0,52.583333333333336,4.6875,0,0,0,0,0
2008-07-25,1385,74.72916666666667,0.0,67.0,7.520833333333333,0,0,0,0,0
2008-07-26,1375,77.5,0.0,56.041666666666664,7.458333333333333,1,0,0,0,0
2008-07-27,1336,75.02083333333333,0.0,56.145833333333336,6.854166666666667,0,0,0,0,0
2008-07-28,1373,76.5,0.0,64.47916666666667,6.25,0,0,0,0,0
2008-07-29,1254,79.29861111111111,0.231,68.59027777777779,7.798611111111112,1,1,1,0,1
2008-07-30,1383,79.72916666666667,0.0,67.6875,9.416666666666666,0,0,0,0,0
2008-07-31,1311,77.29861111111111,0.551,76.0,7.145833333333333,1,1,1,0,1
2008-08-01,1531,79.55208333333333,0.0,71.53819444444444,3.826388888888889,1,0,0,0,0
2008-08-02,1309,74.1875,0.0,61.25,9.145833333333334,0,0,0,0,0
2008-08-03,1246,76.35416666666667,0.0,60.375,6.166666666666667,0,0,0,0,0
2008-08-04,1184,75.06319444444445,0.601,82.92361111111111,9.069444444444445,1,1,1,0,1
2008-08-05,1268,77.91666666666667,0.08,76.08333333333333,6.326388888888889,1,1,0,0,0
2008-08-06,1350,75.77083333333333,0.01,59.916666666666664,6.770833333333333,0,1,0,0,0
2008-08-07,1342,72.5,0.01,59.34027777777777,8.916666666666666,0,1,0,0,0
2008-08-08,1401,71.02083333333333,0.0,57.708333333333336,6.75,0,0,0,0,0
2008-08-09,1264,69.875,0.004,65.85416666666667,9.458333333333334,1,1,1,0,0
2008-08-10,1183,67.47826086956522,0.0,60.78260869565217,10.520833333333334,0,0,0,0,0
2008-08-11,1288,68.47916666666667,0.0,68.27083333333333,6.270833333333333,0,0,0,0,0
2008-08-12,1301,70.6875,0.0,62.375,4.104166666666667,0,0,0,0,0
2008-08-13,1319,71.11805555555556,0.003,64.74305555555556,5.479166666666667,0,1,0,0,0
2008-08-14,1269,71.29861111111111,0.001,68.25,8.25,1,1,0,0,0
2008-08-15,1436,70.35416666666667,0.0,60.25,8.770833333333334,0,0,0,0,0
2008-08-16,1298,72.125,0.0,54.416666666666664,6.5,0,0,0,0,0
2009-11-17,1019,46.5625,0.07200000000000001,61.34027777777778,16.86111111111111,1,1,1,0,0
2009-11-18,1043,45.72222222222223,0.374,80.65277777777779,7.465277777777778,1,1,1,0,0
2009-11-19,1038,44.270833333333336,0.019000000000000003,84.90277777777777,7.3819444444444455,1,1,1,0,0
2009-11-20,1188,46.8125,0.01,72.1875,7.770833333333333,0,1,0,0,0
2009-11-21,992,44.791666666666664,0.0,76.35416666666667,3.5833333333333335,0,0,0,0,0
2009-11-22,988,47.083333333333336,0.0,76.1875,5.520833333333333,1,0,0,0,0
2009-11-23,1021,45.020833333333336,0.0,86.60416666666667,5.048611111111112,1,0,0,0,0
2009-11-24,992,46.07638888888889,0.684,92.00694444444446,6.475694444444444,1,1,1,0,0
2009-11-25,1086,43.62847222222222,0.091,87.82638888888887,10.78125,1,1,1,0,0
2009-11-26,681,37.479166666666664,0.092,80.875,14.395833333333334,1,1,1,0,0
2009-11-27,947,34.98611111111111,0.0,63.0,7.0,0,0,0,0,0
2009-11-28,989,41.708333333333336,0.0,72.39583333333333,4.5,0,0,0,0,0
2009-11-29,881,40.36111111111111,0.025,85.86805555555554,7.3125,1,1,1,0,0
